,date,color -- streamlit-generated,value -- streamlit-generated
0,2026-02-12T00:00:00.000,종가,122100
1,2026-02-13T00:00:00.000,종가,127600
2,2026-02-19T00:00:00.000,종가,133500
3,2026-02-20T00:00:00.000,종가,135100
4,2026-02-23T00:00:00.000,종가,136100
5,2026-02-24T00:00:00.000,종가,140900
6,2026-02-25T00:00:00.000,종가,142300
7,2026-02-26T00:00:00.000,종가,148700
8,2026-02-27T00:00:00.000,종가,143800
9,2026-03-03T00:00:00.000,종가,129200
10,2026-03-04T00:00:00.000,종가,114800
11,2026-03-05T00:00:00.000,종가,128600
12,2026-03-06T00:00:00.000,종가,128000
13,2026-03-09T00:00:00.000,종가,121500
14,2026-03-10T00:00:00.000,종가,134500
15,2026-03-11T00:00:00.000,종가,138900
16,2026-03-12T00:00:00.000,종가,134000
17,2026-03-13T00:00:00.000,종가,133900
18,2026-03-16T00:00:00.000,종가,138300
19,2026-03-17T00:00:00.000,종가,141000
20,2026-03-18T00:00:00.000,종가,149100
21,2026-03-19T00:00:00.000,종가,144200
22,2026-03-20T00:00:00.000,종가,139200
23,2026-03-23T00:00:00.000,종가,130900
24,2026-03-24T00:00:00.000,종가,134100
25,2026-03-25T00:00:00.000,종가,133600
26,2026-03-26T00:00:00.000,종가,126300
27,2026-03-27T00:00:00.000,종가,126200
28,2026-03-30T00:00:00.000,종가,121100
29,2026-03-31T00:00:00.000,종가,114000
30,2026-04-01T00:00:00.000,종가,127500
31,2026-04-02T00:00:00.000,종가,118600
32,2026-04-03T00:00:00.000,종가,124400
33,2026-04-06T00:00:00.000,종가,129100
34,2026-04-07T00:00:00.000,종가,130900
35,2026-04-08T00:00:00.000,종가,139600
36,2026-04-09T00:00:00.000,종가,137700
37,2026-04-10T00:00:00.000,종가,140400
38,2026-04-13T00:00:00.000,종가,138500
39,2026-04-14T00:00:00.000,종가,141400
40,2026-04-15T00:00:00.000,종가,144600
41,2026-04-16T00:00:00.000,종가,149000
42,2026-04-17T00:00:00.000,종가,146600
43,2026-04-20T00:00:00.000,종가,146400
44,2026-04-21T00:00:00.000,종가,150400
45,2026-04-22T00:00:00.000,종가,151300
46,2026-04-23T00:00:00.000,종가,156200
47,2026-04-24T00:00:00.000,종가,153700
48,2026-04-27T00:00:00.000,종가,160100
49,2026-04-28T00:00:00.000,종가,160000
50,2026-04-29T00:00:00.000,종가,163500
51,2026-04-30T00:00:00.000,종가,158300
52,2026-05-04T00:00:00.000,종가,169600
53,2026-05-06T00:00:00.000,종가,189300
54,2026-05-07T00:00:00.000,종가,185400
55,2026-05-08T00:00:00.000,종가,182700
56,2026-05-11T00:00:00.000,종가,194900
57,2026-05-12T00:00:00.000,종가,187000
58,2026-05-13T00:00:00.000,종가,189100
59,2026-05-14T00:00:00.000,종가,193700
60,2026-05-15T00:00:00.000,종가,179400
61,2026-05-18T00:00:00.000,종가,185100
62,2026-05-19T00:00:00.000,종가,180800
63,2026-05-20T00:00:00.000,종가,177800
64,2026-05-21T00:00:00.000,종가,187800
65,2026-05-22T00:00:00.000,종가,187500
66,2026-05-26T00:00:00.000,종가,187200
67,2026-05-27T00:00:00.000,종가,192000
68,2026-05-28T00:00:00.000,종가,190900
