종목,date,series,value
LG에너지솔루션,2026-04-06,20일 이동평균,131945.0
LG에너지솔루션,2026-04-07,종가,130900.0
LG에너지솔루션,2026-04-07,5일 이동평균,126100.0
LG에너지솔루션,2026-04-07,20일 이동평균,131765.0
LG에너지솔루션,2026-04-08,종가,139600.0
LG에너지솔루션,2026-04-08,5일 이동평균,128520.0
LG에너지솔루션,2026-04-08,20일 이동평균,131800.0
LG에너지솔루션,2026-04-09,종가,137700.0
LG에너지솔루션,2026-04-09,5일 이동평균,132340.0
LG에너지솔루션,2026-04-09,20일 이동평균,131985.0
LG에너지솔루션,2026-04-10,종가,140400.0
LG에너지솔루션,2026-04-10,5일 이동평균,135540.0
LG에너지솔루션,2026-04-10,20일 이동평균,132310.0
LG에너지솔루션,2026-04-13,종가,138500.0
LG에너지솔루션,2026-04-13,5일 이동평균,137420.0
LG에너지솔루션,2026-04-13,20일 이동평균,132320.0
LG에너지솔루션,2026-04-14,종가,141400.0
LG에너지솔루션,2026-04-14,5일 이동평균,139520.0
LG에너지솔루션,2026-04-14,20일 이동평균,132340.0
LG에너지솔루션,2026-04-15,종가,144600.0
LG에너지솔루션,2026-04-15,5일 이동평균,140520.0
LG에너지솔루션,2026-04-15,20일 이동평균,132115.0
LG에너지솔루션,2026-04-16,종가,149000.0
LG에너지솔루션,2026-04-16,5일 이동평균,142780.0
LG에너지솔루션,2026-04-16,20일 이동평균,132355.0
LG에너지솔루션,2026-04-17,종가,146600.0
LG에너지솔루션,2026-04-17,5일 이동평균,144020.0
LG에너지솔루션,2026-04-17,20일 이동평균,132725.0
LG에너지솔루션,2026-04-20,종가,146400.0
LG에너지솔루션,2026-04-20,5일 이동평균,145600.0
LG에너지솔루션,2026-04-20,20일 이동평균,133500.0
LG에너지솔루션,2026-04-21,종가,150400.0
LG에너지솔루션,2026-04-21,5일 이동평균,147400.0
LG에너지솔루션,2026-04-21,20일 이동평균,134315.0
LG에너지솔루션,2026-04-22,종가,151300.0
LG에너지솔루션,2026-04-22,5일 이동평균,148740.0
LG에너지솔루션,2026-04-22,20일 이동평균,135200.0
LG에너지솔루션,2026-04-23,종가,156200.0
LG에너지솔루션,2026-04-23,5일 이동평균,150180.0
LG에너지솔루션,2026-04-23,20일 이동평균,136695.0
LG에너지솔루션,2026-04-24,종가,153700.0
LG에너지솔루션,2026-04-24,5일 이동평균,151600.0
LG에너지솔루션,2026-04-24,20일 이동평균,138070.0
LG에너지솔루션,2026-04-27,종가,160100.0
LG에너지솔루션,2026-04-27,5일 이동평균,154340.0
LG에너지솔루션,2026-04-27,20일 이동평균,140020.0
LG에너지솔루션,2026-04-28,종가,160000.0
LG에너지솔루션,2026-04-28,5일 이동평균,156260.0
LG에너지솔루션,2026-04-28,20일 이동평균,142320.0
LG에너지솔루션,2026-04-29,종가,163500.0
LG에너지솔루션,2026-04-29,5일 이동평균,158700.0
LG에너지솔루션,2026-04-29,20일 이동평균,144120.0
LG에너지솔루션,2026-04-30,종가,158300.0
LG에너지솔루션,2026-04-30,5일 이동평균,159120.0
LG에너지솔루션,2026-04-30,20일 이동평균,146105.0
LG에너지솔루션,2026-05-04,종가,169600.0
LG에너지솔루션,2026-05-04,5일 이동평균,162300.0
LG에너지솔루션,2026-05-04,20일 이동평균,148365.0
LG에너지솔루션,2026-05-06,종가,189300.0
LG에너지솔루션,2026-05-06,5일 이동평균,168140.0
LG에너지솔루션,2026-05-06,20일 이동평균,151375.0
LG에너지솔루션,2026-05-07,종가,185400.0
LG에너지솔루션,2026-05-07,5일 이동평균,173220.0
LG에너지솔루션,2026-05-07,20일 이동평균,154100.0
LG에너지솔루션,2026-05-08,종가,182700.0
LG에너지솔루션,2026-05-08,5일 이동평균,177060.0
LG에너지솔루션,2026-05-08,20일 이동평균,156255.0
LG에너지솔루션,2026-05-11,종가,194900.0
LG에너지솔루션,2026-05-11,5일 이동평균,184380.0
LG에너지솔루션,2026-05-11,20일 이동평균,159115.0
LG에너지솔루션,2026-05-12,종가,187000.0
LG에너지솔루션,2026-05-12,5일 이동평균,187860.0
LG에너지솔루션,2026-05-12,20일 이동평균,161445.0
LG에너지솔루션,2026-05-13,종가,189100.0
LG에너지솔루션,2026-05-13,5일 이동평균,187820.0
LG에너지솔루션,2026-05-13,20일 이동평균,163975.0
LG에너지솔루션,2026-05-14,종가,193700.0
LG에너지솔루션,2026-05-14,5일 이동평균,189480.0
LG에너지솔루션,2026-05-14,20일 이동평균,166590.0
LG에너지솔루션,2026-05-15,종가,179400.0
LG에너지솔루션,2026-05-15,5일 이동평균,188820.0
LG에너지솔루션,2026-05-15,20일 이동평균,168330.0
