,date,color -- streamlit-generated,value -- streamlit-generated
49,2026-04-28T00:00:00.000,종가,1300000
50,2026-04-29T00:00:00.000,종가,1293000
51,2026-04-30T00:00:00.000,종가,1286000
52,2026-05-04T00:00:00.000,종가,1447000
53,2026-05-06T00:00:00.000,종가,1601000
54,2026-05-07T00:00:00.000,종가,1654000
55,2026-05-08T00:00:00.000,종가,1686000
56,2026-05-11T00:00:00.000,종가,1880000
57,2026-05-12T00:00:00.000,종가,1835000
58,2026-05-13T00:00:00.000,종가,1976000
59,2026-05-14T00:00:00.000,종가,1970000
60,2026-05-15T00:00:00.000,종가,1819000
61,2026-05-18T00:00:00.000,종가,1840000
62,2026-05-19T00:00:00.000,종가,1745000
63,2026-05-20T00:00:00.000,종가,1745000
64,2026-05-21T00:00:00.000,종가,1940000
65,2026-05-22T00:00:00.000,종가,1941000
66,2026-05-26T00:00:00.000,종가,2052000
67,2026-05-27T00:00:00.000,종가,2243000
68,2026-05-28T00:00:00.000,종가,2289000
69,2026-05-29T00:00:00.000,종가,2333000
70,2026-06-01T00:00:00.000,종가,2363000
71,2026-06-02T00:00:00.000,종가,2360000
72,2026-06-04T00:00:00.000,종가,2298000
73,2026-06-05T00:00:00.000,종가,2070000
74,2026-06-08T00:00:00.000,종가,1911000
75,2026-06-09T00:00:00.000,종가,2215000
76,2026-06-10T00:00:00.000,종가,2048000
77,2026-06-11T00:00:00.000,종가,2101000
78,2026-06-12T00:00:00.000,종가,2150000
79,2026-06-15T00:00:00.000,종가,2288000
80,2026-06-16T00:00:00.000,종가,2382000
81,2026-06-17T00:00:00.000,종가,2521000
82,2026-06-18T00:00:00.000,종가,2685000
83,2026-06-19T00:00:00.000,종가,2764000
84,2026-06-22T00:00:00.000,종가,2919000
85,2026-06-23T00:00:00.000,종가,2555000
86,2026-06-24T00:00:00.000,종가,2580000
87,2026-06-25T00:00:00.000,종가,2917000
88,2026-06-26T00:00:00.000,종가,2673000
89,2026-06-29T00:00:00.000,종가,2628000
90,2026-06-30T00:00:00.000,종가,2650000
91,2026-07-01T00:00:00.000,종가,2560000
92,2026-07-02T00:00:00.000,종가,2187000
93,2026-07-03T00:00:00.000,종가,2425000
94,2026-07-06T00:00:00.000,종가,2343000
95,2026-07-07T00:00:00.000,종가,2201000
96,2026-07-08T00:00:00.000,종가,2076000
97,2026-07-09T00:00:00.000,종가,2186000
98,2026-07-10T00:00:00.000,종가,2180000
99,2026-07-13T00:00:00.000,종가,1845000
100,2026-07-14T00:00:00.000,종가,1913000
101,2026-07-15T00:00:00.000,종가,2082000
102,2026-07-16T00:00:00.000,종가,1842000
103,2026-07-20T00:00:00.000,종가,1764000
104,2026-07-21T00:00:00.000,종가,1836000
105,2026-07-22T00:00:00.000,종가,1830000
106,2026-07-23T00:00:00.000,종가,1919000
107,2026-07-24T00:00:00.000,종가,1759000
108,2026-07-27T00:00:00.000,종가,1816000
109,2026-07-28T00:00:00.000,종가,1550000
110,2026-07-29T00:00:00.000,종가,1401000
111,2026-07-30T00:00:00.000,종가,1322000
112,2026-07-31T00:00:00.000,종가,1718000
113,2026-08-03T00:00:00.000,종가,1567000
114,2026-08-04T00:00:00.000,종가,1577000
115,2026-08-05T00:00:00.000,종가,1668000
116,2026-08-06T00:00:00.000,종가,1495000
117,2026-08-07T00:00:00.000,종가,1422000
118,2026-08-10T00:00:00.000,종가,1420000
119,2026-08-11T00:00:00.000,종가,1425000
120,2026-08-12T00:00:00.000,종가,1504000
121,2026-08-13T00:00:00.000,종가,1593000
122,2026-08-14T00:00:00.000,종가,1645000
123,2026-08-18T00:00:00.000,종가,1662000
124,2026-08-19T00:00:00.000,종가,1500000
125,2026-08-20T00:00:00.000,종가,1691000
126,2026-08-21T00:00:00.000,종가,1730000
127,2026-08-24T00:00:00.000,종가,1671000
128,2026-08-25T00:00:00.000,종가,1678000
129,2026-08-26T00:00:00.000,종가,1688000
130,2026-08-27T00:00:00.000,종가,1730000
131,2026-08-28T00:00:00.000,종가,1653000
132,2026-08-31T00:00:00.000,종가,1674000
133,2026-09-01T00:00:00.000,종가,1693000
134,2026-09-02T00:00:00.000,종가,1613000
135,2026-09-03T00:00:00.000,종가,1596000
136,2026-09-04T00:00:00.000,종가,1647000
137,2026-09-07T00:00:00.000,종가,1783000
138,2026-09-08T00:00:00.000,종가,1793000
139,2026-09-09T00:00:00.000,종가,1856000
140,2026-02-12T00:00:00.000,5일 이동평균,
141,2026-02-13T00:00:00.000,5일 이동평균,
142,2026-02-19T00:00:00.000,5일 이동평균,
143,2026-02-20T00:00:00.000,5일 이동평균,
144,2026-02-23T00:00:00.000,5일 이동평균,912400
145,2026-02-24T00:00:00.000,5일 이동평균,935800
146,2026-02-25T00:00:00.000,5일 이동평균,963400
147,2026-02-26T00:00:00.000,5일 이동평균,1004400
148,2026-02-27T00:00:00.000,5일 이동평균,1026800
149,2026-03-03T00:00:00.000,5일 이동평균,1024400
150,2026-03-04T00:00:00.000,5일 이동평균,993200
151,2026-03-05T00:00:00.000,5일 이동평균,977800
152,2026-03-06T00:00:00.000,5일 이동평균,942800
153,2026-03-09T00:00:00.000,5일 이동평균,897800
154,2026-03-10T00:00:00.000,5일 이동평균,897600
155,2026-03-11T00:00:00.000,5일 이동평균,918800
156,2026-03-12T00:00:00.000,5일 이동평균,916600
157,2026-03-13T00:00:00.000,5일 이동평균,913800
158,2026-03-16T00:00:00.000,5일 이동평균,941400
159,2026-03-17T00:00:00.000,5일 이동평균,947800
160,2026-03-18T00:00:00.000,5일 이동평균,968000
161,2026-03-19T00:00:00.000,5일 이동평균,984600
162,2026-03-20T00:00:00.000,5일 이동평균,1004000
163,2026-03-23T00:00:00.000,5일 이동평균,995800
164,2026-03-24T00:00:00.000,5일 이동평균,999000
165,2026-03-25T00:00:00.000,5일 이동평균,986800
166,2026-03-26T00:00:00.000,5일 이동평균,970800
167,2026-03-27T00:00:00.000,5일 이동평균,953800
168,2026-03-30T00:00:00.000,5일 이동평균,941800
169,2026-03-31T00:00:00.000,5일 이동평균,906000
170,2026-04-01T00:00:00.000,5일 이동평균,885600
171,2026-04-02T00:00:00.000,5일 이동평균,865000
172,2026-04-03T00:00:00.000,5일 이동평균,855800
173,2026-04-06T00:00:00.000,5일 이동평균,858400
174,2026-04-07T00:00:00.000,5일 이동평균,880200
175,2026-04-08T00:00:00.000,5일 이동평균,908200
176,2026-04-09T00:00:00.000,5일 이동평균,941800
177,2026-04-10T00:00:00.000,5일 이동평균,972000
178,2026-04-13T00:00:00.000,5일 이동평균,1002800
179,2026-04-14T00:00:00.000,5일 이동평균,1040200
180,2026-04-15T00:00:00.000,5일 이동평균,1060800
181,2026-04-16T00:00:00.000,5일 이동평균,1092200
182,2026-04-17T00:00:00.000,5일 이동평균,1112400
183,2026-04-20T00:00:00.000,5일 이동평균,1137600
184,2026-04-21T00:00:00.000,5일 이동평균,1161800
185,2026-04-22T00:00:00.000,5일 이동평균,1179200
186,2026-04-23T00:00:00.000,5일 이동평균,1193200
187,2026-04-24T00:00:00.000,5일 이동평균,1212000
188,2026-04-27T00:00:00.000,5일 이동평균,1237200
189,2026-04-28T00:00:00.000,5일 이동평균,1252400
190,2026-04-29T00:00:00.000,5일 이동평균,1266400
191,2026-04-30T00:00:00.000,5일 이동평균,1278600
192,2026-05-04T00:00:00.000,5일 이동평균,1323600
193,2026-05-06T00:00:00.000,5일 이동평균,1385400
194,2026-05-07T00:00:00.000,5일 이동평균,1456200
195,2026-05-08T00:00:00.000,5일 이동평균,1534800
196,2026-05-11T00:00:00.000,5일 이동평균,1653600
197,2026-05-12T00:00:00.000,5일 이동평균,1731200
198,2026-05-13T00:00:00.000,5일 이동평균,1806200
199,2026-05-14T00:00:00.000,5일 이동평균,1869400
200,2026-05-15T00:00:00.000,5일 이동평균,1896000
201,2026-05-18T00:00:00.000,5일 이동평균,1888000
202,2026-05-19T00:00:00.000,5일 이동평균,1870000
203,2026-05-20T00:00:00.000,5일 이동평균,1823800
204,2026-05-21T00:00:00.000,5일 이동평균,1817800
205,2026-05-22T00:00:00.000,5일 이동평균,1842200
206,2026-05-26T00:00:00.000,5일 이동평균,1884600
207,2026-05-27T00:00:00.000,5일 이동평균,1984200
208,2026-05-28T00:00:00.000,5일 이동평균,2093000
209,2026-05-29T00:00:00.000,5일 이동평균,2171600
210,2026-06-01T00:00:00.000,5일 이동평균,2256000
211,2026-06-02T00:00:00.000,5일 이동평균,2317600
212,2026-06-04T00:00:00.000,5일 이동평균,2328600
213,2026-06-05T00:00:00.000,5일 이동평균,2284800
214,2026-06-08T00:00:00.000,5일 이동평균,2200400
215,2026-06-09T00:00:00.000,5일 이동평균,2170800
216,2026-06-10T00:00:00.000,5일 이동평균,2108400
217,2026-06-11T00:00:00.000,5일 이동평균,2069000
218,2026-06-12T00:00:00.000,5일 이동평균,2085000
219,2026-06-15T00:00:00.000,5일 이동평균,2160400
220,2026-06-16T00:00:00.000,5일 이동평균,2193800
221,2026-06-17T00:00:00.000,5일 이동평균,2288400
222,2026-06-18T00:00:00.000,5일 이동평균,2405200
223,2026-06-19T00:00:00.000,5일 이동평균,2528000
224,2026-06-22T00:00:00.000,5일 이동평균,2654200
225,2026-06-23T00:00:00.000,5일 이동평균,2688800
226,2026-06-24T00:00:00.000,5일 이동평균,2700600
227,2026-06-25T00:00:00.000,5일 이동평균,2747000
228,2026-06-26T00:00:00.000,5일 이동평균,2728800
229,2026-06-29T00:00:00.000,5일 이동평균,2670600
230,2026-06-30T00:00:00.000,5일 이동평균,2689600
231,2026-07-01T00:00:00.000,5일 이동평균,2685600
232,2026-07-02T00:00:00.000,5일 이동평균,2539600
233,2026-07-03T00:00:00.000,5일 이동평균,2490000
234,2026-07-06T00:00:00.000,5일 이동평균,2433000
235,2026-07-07T00:00:00.000,5일 이동평균,2343200
236,2026-07-08T00:00:00.000,5일 이동평균,2246400
237,2026-07-09T00:00:00.000,5일 이동평균,2246200
238,2026-07-10T00:00:00.000,5일 이동평균,2197200
239,2026-07-13T00:00:00.000,5일 이동평균,2097600
240,2026-07-14T00:00:00.000,5일 이동평균,2040000
241,2026-07-15T00:00:00.000,5일 이동평균,2041200
242,2026-07-16T00:00:00.000,5일 이동평균,1972400
243,2026-07-20T00:00:00.000,5일 이동평균,1889200
244,2026-07-21T00:00:00.000,5일 이동평균,1887400
245,2026-07-22T00:00:00.000,5일 이동평균,1870800
246,2026-07-23T00:00:00.000,5일 이동평균,1838200
247,2026-07-24T00:00:00.000,5일 이동평균,1821600
248,2026-07-27T00:00:00.000,5일 이동평균,1832000
249,2026-07-28T00:00:00.000,5일 이동평균,1774800
250,2026-07-29T00:00:00.000,5일 이동평균,1689000
251,2026-07-30T00:00:00.000,5일 이동평균,1569600
252,2026-07-31T00:00:00.000,5일 이동평균,1561400
253,2026-08-03T00:00:00.000,5일 이동평균,1511600
254,2026-08-04T00:00:00.000,5일 이동평균,1517000
255,2026-08-05T00:00:00.000,5일 이동평균,1570400
256,2026-08-06T00:00:00.000,5일 이동평균,1605000
257,2026-08-07T00:00:00.000,5일 이동평균,1545800
258,2026-08-10T00:00:00.000,5일 이동평균,1516400
259,2026-08-11T00:00:00.000,5일 이동평균,1486000
260,2026-08-12T00:00:00.000,5일 이동평균,1453200
261,2026-08-13T00:00:00.000,5일 이동평균,1472800
262,2026-08-14T00:00:00.000,5일 이동평균,1517400
263,2026-08-18T00:00:00.000,5일 이동평균,1565800
264,2026-08-19T00:00:00.000,5일 이동평균,1580800
265,2026-08-20T00:00:00.000,5일 이동평균,1618200
266,2026-08-21T00:00:00.000,5일 이동평균,1645600
267,2026-08-24T00:00:00.000,5일 이동평균,1650800
268,2026-08-25T00:00:00.000,5일 이동평균,1654000
269,2026-08-26T00:00:00.000,5일 이동평균,1691600
270,2026-08-27T00:00:00.000,5일 이동평균,1699400
271,2026-08-28T00:00:00.000,5일 이동평균,1684000
272,2026-08-31T00:00:00.000,5일 이동평균,1684600
273,2026-09-01T00:00:00.000,5일 이동평균,1687600
274,2026-09-02T00:00:00.000,5일 이동평균,1672600
275,2026-09-03T00:00:00.000,5일 이동평균,1645800
276,2026-09-04T00:00:00.000,5일 이동평균,1644600
277,2026-09-07T00:00:00.000,5일 이동평균,1666400
278,2026-09-08T00:00:00.000,5일 이동평균,1686400
279,2026-09-09T00:00:00.000,5일 이동평균,1735000
280,2026-02-12T00:00:00.000,20일 이동평균,
281,2026-02-13T00:00:00.000,20일 이동평균,
282,2026-02-19T00:00:00.000,20일 이동평균,
283,2026-02-20T00:00:00.000,20일 이동평균,
284,2026-02-23T00:00:00.000,20일 이동평균,
285,2026-02-24T00:00:00.000,20일 이동평균,
286,2026-02-25T00:00:00.000,20일 이동평균,
287,2026-02-26T00:00:00.000,20일 이동평균,
288,2026-02-27T00:00:00.000,20일 이동평균,
289,2026-03-03T00:00:00.000,20일 이동평균,
290,2026-03-04T00:00:00.000,20일 이동평균,
291,2026-03-05T00:00:00.000,20일 이동평균,
292,2026-03-06T00:00:00.000,20일 이동평균,
293,2026-03-09T00:00:00.000,20일 이동평균,
294,2026-03-10T00:00:00.000,20일 이동평균,
295,2026-03-11T00:00:00.000,20일 이동평균,
296,2026-03-12T00:00:00.000,20일 이동평균,
297,2026-03-13T00:00:00.000,20일 이동평균,
298,2026-03-16T00:00:00.000,20일 이동평균,
299,2026-03-17T00:00:00.000,20일 이동평균,945550
300,2026-03-18T00:00:00.000,20일 이동평균,953950
301,2026-03-19T00:00:00.000,20일 이동평균,960600
302,2026-03-20T00:00:00.000,20일 이동평균,966250
303,2026-03-23T00:00:00.000,20일 이동평균,965450
304,2026-03-24T00:00:00.000,20일 이동평균,967200
305,2026-03-25T00:00:00.000,20일 이동평균,966700
306,2026-03-26T00:00:00.000,20일 이동평균,962450
307,2026-03-27T00:00:00.000,20일 이동평균,953600
308,2026-03-30T00:00:00.000,20일 이동평균,944200
309,2026-03-31T00:00:00.000,20일 이동평균,937600
310,2026-04-01T00:00:00.000,20일 이동평균,939800
311,2026-04-02T00:00:00.000,20일 이동평균,934250
312,2026-04-03T00:00:00.000,20일 이동평균,931850
313,2026-04-06T00:00:00.000,20일 이동평균,934350
314,2026-04-07T00:00:00.000,20일 이동평균,933250
315,2026-04-08T00:00:00.000,20일 이동평균,937150
316,2026-04-09T00:00:00.000,20일 이동평균,940550
317,2026-04-10T00:00:00.000,20일 이동평균,946400
318,2026-04-13T00:00:00.000,20일 이동평균,949700
319,2026-04-14T00:00:00.000,20일 이동평균,956350
320,2026-04-15T00:00:00.000,20일 이동평균,960350
321,2026-04-16T00:00:00.000,20일 이동평균,967450
322,2026-04-17T00:00:00.000,20일 이동평균,973500
323,2026-04-20T00:00:00.000,20일 이동평균,985150
324,2026-04-21T00:00:00.000,20일 이동평균,997050
325,2026-04-22T00:00:00.000,20일 이동평균,1008450
326,2026-04-23T00:00:00.000,20일 이동평균,1023050
327,2026-04-24T00:00:00.000,20일 이동평균,1038050
328,2026-04-27T00:00:00.000,20일 이동평균,1059000
329,2026-04-28T00:00:00.000,20일 이동평균,1083650
330,2026-04-29T00:00:00.000,20일 이동평균,1103650
331,2026-04-30T00:00:00.000,20일 이동평균,1126450
332,2026-05-04T00:00:00.000,20일 이동평균,1155000
333,2026-05-06T00:00:00.000,20일 이동평균,1190750
334,2026-05-07T00:00:00.000,20일 이동평균,1227650
335,2026-05-08T00:00:00.000,20일 이동평균,1260300
336,2026-05-11T00:00:00.000,20일 이동평균,1304400
337,2026-05-12T00:00:00.000,20일 이동평균,1344800
338,2026-05-13T00:00:00.000,20일 이동평균,1391600
339,2026-05-14T00:00:00.000,20일 이동평균,1434950
340,2026-05-15T00:00:00.000,20일 이동평균,1469100
341,2026-05-18T00:00:00.000,20일 이동평균,1503350
342,2026-05-19T00:00:00.000,20일 이동평균,1534200
343,2026-05-20T00:00:00.000,20일 이동평균,1563150
344,2026-05-21T00:00:00.000,20일 이동평균,1598950
345,2026-05-22T00:00:00.000,20일 이동평균,1634850
346,2026-05-26T00:00:00.000,20일 이동평균,1676200
347,2026-05-27T00:00:00.000,20일 이동평균,1727250
348,2026-05-28T00:00:00.000,20일 이동평균,1777100
349,2026-05-29T00:00:00.000,20일 이동평균,1828750
350,2026-06-01T00:00:00.000,20일 이동평균,1882250
351,2026-06-02T00:00:00.000,20일 이동평균,1935950
352,2026-06-04T00:00:00.000,20일 이동평균,1978500
353,2026-06-05T00:00:00.000,20일 이동평균,2001950
354,2026-06-08T00:00:00.000,20일 이동평균,2014800
355,2026-06-09T00:00:00.000,20일 이동평균,2041250
356,2026-06-10T00:00:00.000,20일 이동평균,2049650
357,2026-06-11T00:00:00.000,20일 이동평균,2062950
358,2026-06-12T00:00:00.000,20일 이동평균,2071650
359,2026-06-15T00:00:00.000,20일 이동평균,2087550
360,2026-06-16T00:00:00.000,20일 이동평균,2115700
361,2026-06-17T00:00:00.000,20일 이동평균,2149750
362,2026-06-18T00:00:00.000,20일 이동평균,2196750
363,2026-06-19T00:00:00.000,20일 이동평균,2247700
364,2026-06-22T00:00:00.000,20일 이동평균,2296650
365,2026-06-23T00:00:00.000,20일 이동평균,2327350
366,2026-06-24T00:00:00.000,20일 이동평균,2353750
367,2026-06-25T00:00:00.000,20일 이동평균,2387450
368,2026-06-26T00:00:00.000,20일 이동평균,2406650
369,2026-06-29T00:00:00.000,20일 이동평균,2421400
370,2026-06-30T00:00:00.000,20일 이동평균,2435750
371,2026-07-01T00:00:00.000,20일 이동평균,2445750
372,2026-07-02T00:00:00.000,20일 이동평균,2440200
373,2026-07-03T00:00:00.000,20일 이동평균,2457950
374,2026-07-06T00:00:00.000,20일 이동평균,2479550
375,2026-07-07T00:00:00.000,20일 이동평균,2478850
376,2026-07-08T00:00:00.000,20일 이동평균,2480250
377,2026-07-09T00:00:00.000,20일 이동평균,2484500
378,2026-07-10T00:00:00.000,20일 이동평균,2486000
379,2026-07-13T00:00:00.000,20일 이동평균,2463850
380,2026-07-14T00:00:00.000,20일 이동평균,2440400
381,2026-07-15T00:00:00.000,20일 이동평균,2418450
382,2026-07-16T00:00:00.000,20일 이동평균,2376300
383,2026-07-20T00:00:00.000,20일 이동평균,2326300
384,2026-07-21T00:00:00.000,20일 이동평균,2272150
385,2026-07-22T00:00:00.000,20일 이동평균,2235900
386,2026-07-23T00:00:00.000,20일 이동평균,2202850
387,2026-07-24T00:00:00.000,20일 이동평균,2144950
388,2026-07-27T00:00:00.000,20일 이동평균,2102100
389,2026-07-28T00:00:00.000,20일 이동평균,2048200
390,2026-07-29T00:00:00.000,20일 이동평균,1985750
391,2026-07-30T00:00:00.000,20일 이동평균,1923850
392,2026-07-31T00:00:00.000,20일 이동평균,1900400
393,2026-08-03T00:00:00.000,20일 이동평균,1857500
394,2026-08-04T00:00:00.000,20일 이동평균,1819200
395,2026-08-05T00:00:00.000,20일 이동평균,1792550
396,2026-08-06T00:00:00.000,20일 이동평균,1763500
397,2026-08-07T00:00:00.000,20일 이동평균,1725300
398,2026-08-10T00:00:00.000,20일 이동평균,1687300
399,2026-08-11T00:00:00.000,20일 이동평균,1666300
400,2026-08-12T00:00:00.000,20일 이동평균,1645850
401,2026-08-13T00:00:00.000,20일 이동평균,1621400
402,2026-08-14T00:00:00.000,20일 이동평균,1611550
403,2026-08-18T00:00:00.000,20일 이동평균,1606450
404,2026-08-19T00:00:00.000,20일 이동평균,1589650
405,2026-08-20T00:00:00.000,20일 이동평균,1582700
406,2026-08-21T00:00:00.000,20일 이동평균,1573250
407,2026-08-24T00:00:00.000,20일 이동평균,1568850
408,2026-08-25T00:00:00.000,20일 이동평균,1561950
409,2026-08-26T00:00:00.000,20일 이동평균,1568850
410,2026-08-27T00:00:00.000,20일 이동평균,1585300
411,2026-08-28T00:00:00.000,20일 이동평균,1601850
412,2026-08-31T00:00:00.000,20일 이동평균,1599650
413,2026-09-01T00:00:00.000,20일 이동평균,1605950
414,2026-09-02T00:00:00.000,20일 이동평균,1607750
415,2026-09-03T00:00:00.000,20일 이동평균,1604150
416,2026-09-04T00:00:00.000,20일 이동평균,1611750
417,2026-09-07T00:00:00.000,20일 이동평균,1629800
418,2026-09-08T00:00:00.000,20일 이동평균,1648450
419,2026-09-09T00:00:00.000,20일 이동평균,1670000
