,date,color -- streamlit-generated,value -- streamlit-generated
0,2026-02-12T00:00:00.000,종가,888000
1,2026-02-13T00:00:00.000,종가,880000
2,2026-02-19T00:00:00.000,종가,894000
3,2026-02-20T00:00:00.000,종가,949000
4,2026-02-23T00:00:00.000,종가,951000
5,2026-02-24T00:00:00.000,종가,1005000
6,2026-02-25T00:00:00.000,종가,1018000
7,2026-02-26T00:00:00.000,종가,1099000
8,2026-02-27T00:00:00.000,종가,1061000
9,2026-03-03T00:00:00.000,종가,939000
10,2026-03-04T00:00:00.000,종가,849000
11,2026-03-05T00:00:00.000,종가,941000
12,2026-03-06T00:00:00.000,종가,924000
13,2026-03-09T00:00:00.000,종가,836000
14,2026-03-10T00:00:00.000,종가,938000
15,2026-03-11T00:00:00.000,종가,955000
16,2026-03-12T00:00:00.000,종가,930000
17,2026-03-13T00:00:00.000,종가,910000
18,2026-03-16T00:00:00.000,종가,974000
19,2026-03-17T00:00:00.000,종가,970000
20,2026-03-18T00:00:00.000,종가,1056000
21,2026-03-19T00:00:00.000,종가,1013000
22,2026-03-20T00:00:00.000,종가,1007000
23,2026-03-23T00:00:00.000,종가,933000
24,2026-03-24T00:00:00.000,종가,986000
25,2026-03-25T00:00:00.000,종가,995000
26,2026-03-26T00:00:00.000,종가,933000
27,2026-03-27T00:00:00.000,종가,922000
28,2026-03-30T00:00:00.000,종가,873000
29,2026-03-31T00:00:00.000,종가,807000
30,2026-04-01T00:00:00.000,종가,893000
31,2026-04-02T00:00:00.000,종가,830000
32,2026-04-03T00:00:00.000,종가,876000
33,2026-04-06T00:00:00.000,종가,886000
34,2026-04-07T00:00:00.000,종가,916000
35,2026-04-08T00:00:00.000,종가,1033000
36,2026-04-09T00:00:00.000,종가,998000
37,2026-04-10T00:00:00.000,종가,1027000
38,2026-04-13T00:00:00.000,종가,1040000
39,2026-04-14T00:00:00.000,종가,1103000
40,2026-04-15T00:00:00.000,종가,1136000
41,2026-04-16T00:00:00.000,종가,1155000
42,2026-04-17T00:00:00.000,종가,1128000
43,2026-04-20T00:00:00.000,종가,1166000
44,2026-04-21T00:00:00.000,종가,1224000
45,2026-04-22T00:00:00.000,종가,1223000
46,2026-04-23T00:00:00.000,종가,1225000
47,2026-04-24T00:00:00.000,종가,1222000
48,2026-04-27T00:00:00.000,종가,1292000
